queue_lag_1h,queue_lag_2h,queue_lag_3h,queue_lag_6h,queue_lag_12h,queue_lag_24h,queue_roll_mean_3h,queue_roll_std_3h,queue_roll_mean_6h,queue_roll_std_6h,queue_roll_mean_12h,queue_roll_std_12h,arrival_lag_1h,arrival_lag_3h,arrival_lag_6h,hour_sin,hour_cos,dow_sin,dow_cos
41.0,40.0,41.0,38.0,43.0,42.0,40.666666666666664,0.577350269189537,40.666666666666664,1.6329931618556648,40.5,1.8340219092571994,3.0,2.0,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
42.0,41.0,40.0,41.0,43.0,42.0,41.0,0.9999999999999485,41.333333333333336,1.0327955589890332,40.416666666666664,1.729862492345362,1.0,1.0,3.0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334
44.0,42.0,41.0,43.0,40.0,42.0,42.333333333333336,1.527525231651912,41.833333333333336,1.4719601443882746,40.5,1.8829377433822945,4.0,3.0,2.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
42.0,44.0,42.0,41.0,39.0,41.0,42.666666666666664,1.1547005383792042,41.666666666666664,1.3662601021282597,40.666666666666664,1.922750555056155,1.0,1.0,2.0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334
43.0,42.0,44.0,40.0,38.0,40.0,43.0,0.9999999999999458,42.0,1.4142135623734169,41.0,1.9540168418365431,3.0,4.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
42.0,43.0,42.0,41.0,39.0,40.0,42.333333333333336,0.5773502691895325,42.333333333333336,1.0327955589891127,41.333333333333336,1.7232808737103755,1.0,1.0,3.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
44.0,42.0,43.0,42.0,38.0,44.0,43.0,0.9999999999999458,42.833333333333336,0.9831920802507131,41.75,1.7122552910758333,4.0,3.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
41.0,44.0,42.0,44.0,41.0,40.0,42.333333333333336,1.527525231651912,42.666666666666664,1.2110601416394202,42.0,1.2792042981332692,0.0,1.0,4.0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334
42.0,41.0,44.0,42.0,43.0,42.0,42.333333333333336,1.527525231651912,42.333333333333336,1.0327955589891107,42.083333333333336,1.2401124093717382,1.0,4.0,1.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
42.0,42.0,41.0,43.0,41.0,41.0,41.666666666666664,0.577350269189537,42.333333333333336,1.0327955589891107,42.0,1.2060453783106375,2.0,0.0,3.0,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334
39.0,42.0,42.0,42.0,40.0,42.0,41.0,1.732050807568848,41.666666666666664,1.6329931618557105,41.833333333333336,1.4668044012458363,0.0,1.0,1.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
38.0,39.0,42.0,44.0,41.0,43.0,39.666666666666664,2.0816659994661078,41.0,2.190890230020829,41.666666666666664,1.7752507291969122,0.0,2.0,4.0,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334
38.0,38.0,39.0,41.0,42.0,43.0,38.333333333333336,0.5773502691895325,40.0,1.897366596101168,41.416666666666664,2.06522432562435,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
39.0,38.0,38.0,42.0,44.0,43.0,38.333333333333336,0.5773502691895325,39.666666666666664,1.8618986725026518,41.166666666666664,2.167249338901445,1.0,0.0,1.0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334
40.0,39.0,38.0,42.0,42.0,40.0,39.0,0.9999999999999458,39.333333333333336,1.505545305418297,40.833333333333336,1.992409839791012,1.0,0.0,2.0,0.0,1.0,0.0,1.0
40.0,40.0,39.0,39.0,43.0,39.0,39.666666666666664,0.5773502691895325,39.0,0.894427191000106,40.666666666666664,1.969463855669092,5.0,1.0,0.0,0.25881904510252074,0.9659258262890683,0.0,1.0
40.0,40.0,40.0,38.0,42.0,38.0,40.0,0.0,39.166666666666664,0.9831920802503646,40.416666666666664,1.831955405041212,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0
41.0,40.0,40.0,38.0,44.0,39.0,40.333333333333336,0.5773502691895325,39.666666666666664,1.032795558988871,40.333333333333336,1.7752507291969388,4.0,5.0,0.0,0.7071067811865475,0.7071067811865476,0.0,1.0
42.0,41.0,40.0,39.0,41.0,38.0,41.0,0.9999999999999458,40.333333333333336,1.0327955589889348,40.166666666666664,1.4668044012458765,2.0,1.0,1.0,0.8660254037844386,0.5000000000000001,0.0,1.0
42.0,42.0,41.0,40.0,42.0,41.0,41.666666666666664,0.5773502691895325,40.833333333333336,0.9831920802505303,40.25,1.5447859516330256,2.0,4.0,1.0,0.9659258262890683,0.25881904510252074,0.0,1.0
41.0,42.0,42.0,40.0,42.0,43.0,41.666666666666664,0.5773502691895325,41.0,0.8944271910003248,40.166666666666664,1.4668044012458765,3.0,2.0,5.0,1.0,6.123233995736766e-17,0.0,1.0
37.0,41.0,42.0,40.0,39.0,41.0,40.0,2.6457513110645703,40.5,1.8708286933871385,39.75,1.60255477852739,0.0,2.0,1.0,0.9659258262890683,-0.25881904510252063,0.0,1.0
37.0,37.0,41.0,41.0,38.0,40.0,38.333333333333336,2.3094010767584803,40.0,2.3664319132399574,39.583333333333336,1.7816403745541889,2.0,3.0,4.0,0.8660254037844387,-0.4999999999999998,0.0,1.0
39.0,37.0,37.0,42.0,38.0,41.0,37.666666666666664,1.1547005383792086,39.666666666666664,2.3380903889001217,39.666666666666664,1.7232808737104144,2.0,0.0,2.0,0.7071067811865476,-0.7071067811865475,0.0,1.0
40.0,39.0,37.0,42.0,39.0,42.0,38.666666666666664,1.5275252316519154,39.333333333333336,2.0655911179773825,39.833333333333336,1.6422453217984339,2.0,2.0,2.0,0.49999999999999994,-0.8660254037844387,0.0,1.0
41.0,40.0,39.0,41.0,40.0,44.0,40.0,0.9999999999999538,39.166666666666664,1.8348478592698139,40.0,1.651445647689278,4.0,2.0,3.0,0.258819045102521,-0.9659258262890682,0.0,1.0
43.0,41.0,40.0,37.0,40.0,42.0,41.333333333333336,1.5275252316519154,39.5,2.3452078799118072,40.25,1.8647446815239452,4.0,2.0,0.0,1.2246467991473532e-16,-1.0,0.0,1.0
42.0,43.0,41.0,37.0,40.0,43.0,42.0,0.9999999999999512,40.333333333333336,2.160246899469434,40.416666666666664,1.9286515936519149,5.0,4.0,2.0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
42.0,42.0,43.0,39.0,41.0,42.0,42.333333333333336,0.5773502691895417,41.166666666666664,1.4719601443882624,40.583333333333336,1.9752253419582895,2.0,4.0,2.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
40.0,42.0,42.0,40.0,42.0,44.0,41.333333333333336,1.154700538379211,41.333333333333336,1.2110601416393645,40.5,1.9771421064480939,0.0,5.0,2.0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
41.0,40.0,42.0,41.0,42.0,41.0,41.0,0.9999999999999538,41.5,1.0488088481705973,40.416666666666664,1.9286515936519153,3.0,2.0,4.0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
37.0,41.0,40.0,43.0,41.0,42.0,39.333333333333336,2.0816659994661117,40.833333333333336,2.136976056643458,40.0,2.0889318714681666,2.0,0.0,4.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
37.0,37.0,41.0,42.0,37.0,42.0,38.333333333333336,2.3094010767584847,39.833333333333336,2.3166067138526456,39.666666666666664,2.229281716090662,1.0,3.0,5.0,-1.0,-1.8369701987210297e-16,0.0,1.0
38.0,37.0,37.0,42.0,37.0,39.0,37.333333333333336,0.5773502691895556,39.166666666666664,2.1369760566433524,39.75,2.137330535546847,4.0,2.0,2.0,-0.9659258262890684,0.2588190451025203,0.0,1.0
40.0,38.0,37.0,40.0,39.0,38.0,38.333333333333336,1.527525231651919,38.833333333333336,1.7224014243685704,40.0,1.954016841836568,3.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0
38.0,40.0,38.0,41.0,40.0,38.0,38.666666666666664,1.1547005383792133,38.5,1.6431676725155346,39.916666666666664,2.020725942163478,0.0,4.0,3.0,-0.7071067811865477,0.7071067811865474,0.0,1.0
36.0,38.0,40.0,37.0,41.0,39.0,38.0,1.9999999999999782,37.666666666666664,1.3662601021279082,39.583333333333336,2.3143164446677913,2.0,3.0,2.0,-0.5000000000000004,0.8660254037844384,0.0,1.0
36.0,36.0,38.0,37.0,43.0,40.0,36.666666666666664,1.1547005383792133,37.5,1.5165750888102614,39.166666666666664,2.4802248187441265,1.0,0.0,1.0,-0.25881904510252157,0.9659258262890681,0.0,1.0
37.0,36.0,36.0,38.0,42.0,40.0,36.333333333333336,0.5773502691895462,37.5,1.5165750888102614,38.666666666666664,2.229281716090674,1.0,2.0,4.0,0.0,1.0,0.7818314824680298,0.6234898018587336
37.0,37.0,36.0,40.0,42.0,40.0,36.666666666666664,0.5773502691895462,37.333333333333336,1.505545305418099,38.25,2.0056737702643743,1.0,1.0,3.0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
39.0,37.0,37.0,38.0,40.0,41.0,37.666666666666664,1.1547005383792133,37.166666666666664,1.1690451944499127,38.0,1.651445647689315,2.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
40.0,39.0,37.0,36.0,41.0,42.0,38.666666666666664,1.527525231651919,37.5,1.6431676725154518,38.0,1.651445647689315,4.0,1.0,2.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336
40.0,40.0,39.0,36.0,37.0,42.0,39.666666666666664,0.5773502691895556,38.166666666666664,1.7224014243685093,37.916666666666664,1.50504203102464,1.0,2.0,1.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
41.0,40.0,40.0,37.0,37.0,41.0,40.333333333333336,0.5773502691895556,39.0,1.6733200530682077,38.25,1.7122552910759017,4.0,4.0,1.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
40.0,41.0,40.0,37.0,38.0,37.0,40.333333333333336,0.5773502691895556,39.5,1.378404875209131,38.5,1.7320508075686532,1.0,1.0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
41.0,40.0,41.0,39.0,40.0,37.0,40.666666666666664,0.5773502691895556,40.166666666666664,0.7527726527093797,38.75,1.864744681523971,4.0,4.0,2.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
40.0,41.0,40.0,40.0,38.0,39.0,40.333333333333336,0.5773502691895556,40.333333333333336,0.5163977794947944,38.75,1.864744681523971,3.0,1.0,4.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
44.0,40.0,41.0,40.0,36.0,40.0,41.666666666666664,2.081665999466114,41.0,1.5491933384831746,39.25,2.3788843832961044,8.0,4.0,1.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
44.0,44.0,40.0,41.0,36.0,41.0,42.666666666666664,2.309401076758487,41.666666666666664,1.86189867250274,39.916666666666664,2.503028468705591,3.0,3.0,4.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
43.0,44.0,44.0,40.0,37.0,43.0,43.666666666666664,0.5773502691895648,42.0,1.897366596101259,40.5,2.3159525823374425,3.0,8.0,1.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
